,FIPS,STNAME,CTYNAME,LISTINGS_AVAILABLE,APPROVAL,ACTIVE
0,18049,Indiana,Fulton County,False,False,False
1,18051,Indiana,Gibson County,False,False,False
2,18053,Indiana,Grant County,False,False,False
3,18055,Indiana,Greene County,False,False,False
4,18057,Indiana,Hamilton County,False,False,False
5,18059,Indiana,Hancock County,False,False,False
6,18061,Indiana,Harrison County,False,False,False
7,18063,Indiana,Hendricks County,False,False,False
8,18065,Indiana,Henry County,False,False,False
9,18067,Indiana,Howard County,False,False,False
10,18069,Indiana,Huntington County,False,False,False
11,18071,Indiana,Jackson County,False,False,False
12,18073,Indiana,Jasper County,False,False,False
13,18075,Indiana,Jay County,False,False,False
14,18077,Indiana,Jefferson County,False,False,False
15,18079,Indiana,Jennings County,False,False,False
16,18081,Indiana,Johnson County,False,False,False
17,18083,Indiana,Knox County,False,False,False
18,18085,Indiana,Kosciusko County,False,False,False
19,18087,Indiana,LaGrange County,False,False,False
20,18089,Indiana,Lake County,False,False,False
21,18091,Indiana,LaPorte County,False,False,False
22,18093,Indiana,Lawrence County,False,False,False
23,18095,Indiana,Madison County,False,False,False
24,18097,Indiana,Marion County,False,False,False
25,18099,Indiana,Marshall County,False,False,False
26,18101,Indiana,Martin County,False,False,False
27,18103,Indiana,Miami County,False,False,False
28,18105,Indiana,Monroe County,False,False,False
29,18107,Indiana,Montgomery County,False,False,False
30,18109,Indiana,Morgan County,False,False,False
31,18111,Indiana,Newton County,False,False,False
32,18113,Indiana,Noble County,False,False,False
33,18115,Indiana,Ohio County,False,False,False
34,18117,Indiana,Orange County,False,False,False
35,18119,Indiana,Owen County,False,False,False
36,18121,Indiana,Parke County,False,False,False
37,18123,Indiana,Perry County,False,False,False
38,18125,Indiana,Pike County,False,False,False
39,18127,Indiana,Porter County,False,False,False
40,18129,Indiana,Posey County,False,False,False
41,18131,Indiana,Pulaski County,False,False,False
42,18133,Indiana,Putnam County,False,False,False
43,18135,Indiana,Randolph County,False,False,False
44,18137,Indiana,Ripley County,False,False,False
45,18139,Indiana,Rush County,False,False,False
46,18141,Indiana,St. Joseph County,False,False,False
47,18143,Indiana,Scott County,False,False,False
48,18145,Indiana,Shelby County,False,False,False
49,18147,Indiana,Spencer County,False,False,False
50,18149,Indiana,Starke County,False,False,False
51,18151,Indiana,Steuben County,False,False,False
52,18153,Indiana,Sullivan County,False,False,False
53,18155,Indiana,Switzerland County,False,False,False
54,18157,Indiana,Tippecanoe County,False,False,False
55,18159,Indiana,Tipton County,False,False,False
56,18161,Indiana,Union County,False,False,False
57,18163,Indiana,Vanderburgh County,False,False,False
58,18165,Indiana,Vermillion County,False,False,False
59,18167,Indiana,Vigo County,False,False,False
60,18169,Indiana,Wabash County,False,False,False
61,18171,Indiana,Warren County,False,False,False
62,18173,Indiana,Warrick County,False,False,False
63,18175,Indiana,Washington County,False,False,False
64,18177,Indiana,Wayne County,False,False,False
65,18179,Indiana,Wells County,False,False,False
66,18181,Indiana,White County,False,False,False
67,18183,Indiana,Whitley County,False,False,False
68,19001,Iowa,Adair County,False,False,False
69,19003,Iowa,Adams County,False,False,False
70,19005,Iowa,Allamakee County,False,False,False
71,19007,Iowa,Appanoose County,False,False,False
72,19009,Iowa,Audubon County,False,False,False
73,19011,Iowa,Benton County,False,False,False
74,19013,Iowa,Black Hawk County,False,False,False
75,19015,Iowa,Boone County,False,False,False
76,19017,Iowa,Bremer County,False,False,False
77,19019,Iowa,Buchanan County,False,False,False
78,19021,Iowa,Buena Vista County,False,False,False
79,19023,Iowa,Butler County,False,False,False
80,19025,Iowa,Calhoun County,False,False,False
81,19027,Iowa,Carroll County,False,False,False
82,19029,Iowa,Cass County,False,False,False
83,19031,Iowa,Cedar County,False,False,False
84,19033,Iowa,Cerro Gordo County,False,False,False
85,19035,Iowa,Cherokee County,False,False,False
86,19037,Iowa,Chickasaw County,False,False,False
87,19039,Iowa,Clarke County,False,False,False
88,19041,Iowa,Clay County,False,False,False
89,19043,Iowa,Clayton County,False,False,False
90,19045,Iowa,Clinton County,False,False,False
91,19047,Iowa,Crawford County,False,False,False
92,19049,Iowa,Dallas County,False,False,False
93,19051,Iowa,Davis County,False,False,False
94,19053,Iowa,Decatur County,False,False,False
95,19055,Iowa,Delaware County,False,False,False
96,19057,Iowa,Des Moines County,False,False,False
97,19059,Iowa,Dickinson County,False,False,False
98,19061,Iowa,Dubuque County,False,False,False
99,19063,Iowa,Emmet County,False,False,False
100,19065,Iowa,Fayette County,False,False,False
101,19067,Iowa,Floyd County,False,False,False
102,19069,Iowa,Franklin County,False,False,False
103,19071,Iowa,Fremont County,False,False,False
104,19073,Iowa,Greene County,False,False,False
105,19075,Iowa,Grundy County,False,False,False
106,19077,Iowa,Guthrie County,False,False,False
107,19079,Iowa,Hamilton County,False,False,False
108,19081,Iowa,Hancock County,False,False,False
109,19083,Iowa,Hardin County,False,False,False
110,19085,Iowa,Harrison County,False,False,False
111,19087,Iowa,Henry County,False,False,False
112,19089,Iowa,Howard County,False,False,False
113,19091,Iowa,Humboldt County,False,False,False
114,19095,Iowa,Iowa County,False,False,False
115,19097,Iowa,Jackson County,False,False,False
116,19099,Iowa,Jasper County,False,False,False
117,19101,Iowa,Jefferson County,False,False,False
118,19103,Iowa,Johnson County,False,False,False
119,19105,Iowa,Jones County,False,False,False
120,19107,Iowa,Keokuk County,False,False,False
121,19109,Iowa,Kossuth County,False,False,False
122,19113,Iowa,Linn County,False,False,False
123,19115,Iowa,Louisa County,False,False,False
124,19117,Iowa,Lucas County,False,False,False
125,19119,Iowa,Lyon County,False,False,False
126,19121,Iowa,Madison County,False,False,False
127,19123,Iowa,Mahaska County,False,False,False
128,19125,Iowa,Marion County,False,False,False
129,19127,Iowa,Marshall County,False,False,False
